date,product_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,P001,620,0,83,537,0
2024-01-01,P002,420,0,48,372,0
2024-01-01,P003,550,0,39,511,0
2024-01-01,P004,80,0,10,70,0
2024-01-01,P005,950,0,135,815,0
2024-01-02,P001,537,0,85,452,0
2024-01-02,P002,372,0,50,322,0
2024-01-02,P003,511,0,43,468,0
2024-01-02,P004,70,0,11,59,0
2024-01-02,P005,815,0,107,708,0
2024-01-03,P001,452,0,91,361,0
2024-01-03,P002,322,0,59,263,0
2024-01-03,P003,468,0,39,429,0
2024-01-03,P004,59,0,11,48,0
2024-01-03,P005,708,0,106,602,0
2024-01-04,P001,361,0,61,300,0
2024-01-04,P002,263,0,44,219,0
2024-01-04,P003,429,0,48,381,0
2024-01-04,P004,48,0,14,34,0
2024-01-04,P005,2213,1611,106,2107,0
2024-01-05,P001,300,0,90,210,0
2024-01-05,P002,219,0,57,162,0
2024-01-05,P003,381,0,57,324,0
2024-01-05,P004,34,0,13,21,0
2024-01-05,P005,2107,0,108,1999,0
2024-01-06,P001,210,0,75,135,0
2024-01-06,P002,162,0,44,118,0
2024-01-06,P003,324,0,43,281,0
2024-01-06,P004,21,0,10,11,0
2024-01-06,P005,1999,0,91,1908,0
2024-01-07,P001,135,0,78,57,0
2024-01-07,P002,118,0,47,71,0
2024-01-07,P003,281,0,50,231,0
2024-01-07,P004,11,0,11,0,1
2024-01-07,P005,1908,0,109,1799,0
2024-01-08,P001,57,0,57,0,1
2024-01-08,P002,71,0,55,16,0
2024-01-08,P003,231,0,37,194,0
2024-01-08,P004,0,0,0,0,1
2024-01-08,P005,1799,0,117,1682,0
2024-01-09,P001,0,0,0,0,1
2024-01-09,P002,16,0,16,0,1
2024-01-09,P003,194,0,37,157,0
2024-01-09,P004,0,0,0,0,1
2024-01-09,P005,1682,0,122,1560,0
2024-01-10,P001,967,967,104,863,0
2024-01-10,P002,0,0,0,0,1
2024-01-10,P003,157,0,44,113,0
2024-01-10,P004,0,0,0,0,1
2024-01-10,P005,1560,0,103,1457,0
2024-01-11,P001,863,0,78,785,0
2024-01-11,P002,0,0,0,0,1
2024-01-11,P003,113,0,42,71,0
2024-01-11,P004,0,0,0,0,1
2024-01-11,P005,1457,0,113,1344,0
2024-01-12,P001,785,0,84,701,0
2024-01-12,P002,0,0,0,0,1
2024-01-12,P003,71,0,37,34,0
2024-01-12,P004,0,0,0,0,1
2024-01-12,P005,1344,0,119,1225,0
2024-01-13,P001,701,0,90,611,0
2024-01-13,P002,0,0,0,0,1
2024-01-13,P003,34,0,34,0,1
2024-01-13,P004,0,0,0,0,1
2024-01-13,P005,1225,0,87,1138,0
2024-01-14,P001,611,0,90,521,0
2024-01-14,P002,0,0,0,0,1
2024-01-14,P003,640,640,44,596,0
2024-01-14,P004,0,0,0,0,1
2024-01-14,P005,1138,0,86,1052,0
2024-01-15,P001,521,0,68,453,0
2024-01-15,P002,0,0,0,0,1
2024-01-15,P003,596,0,72,524,0
2024-01-15,P004,0,0,0,0,1
2024-01-15,P005,1052,0,118,934,0
2024-01-16,P001,453,0,68,385,0
2024-01-16,P002,0,0,0,0,1
2024-01-16,P003,524,0,59,465,0
2024-01-16,P004,0,0,0,0,1
2024-01-16,P005,934,0,110,824,0
2024-01-17,P001,385,0,76,309,0
2024-01-17,P002,0,0,0,0,1
2024-01-17,P003,465,0,78,387,0
2024-01-17,P004,0,0,0,0,1
2024-01-17,P005,824,0,121,703,0
2024-01-18,P001,309,0,73,236,0
2024-01-18,P002,384,384,58,326,0
2024-01-18,P003,387,0,82,305,0
2024-01-18,P004,0,0,0,0,1
2024-01-18,P005,703,0,99,604,0
2024-01-19,P001,236,0,90,146,0
2024-01-19,P002,326,0,53,273,0
2024-01-19,P003,305,0,73,232,0
2024-01-19,P004,0,0,0,0,1
2024-01-19,P005,604,0,111,493,0
2024-01-20,P001,146,0,83,63,0
2024-01-20,P002,273,0,62,211,0
2024-01-20,P003,232,0,72,160,0
2024-01-20,P004,0,0,0,0,1
2024-01-20,P005,493,0,104,389,0
2024-01-21,P001,63,0,63,0,1
2024-01-21,P002,211,0,52,159,0
2024-01-21,P003,160,0,73,87,0
2024-01-21,P004,0,0,0,0,1
2024-01-21,P005,389,0,113,276,0
2024-01-22,P001,1036,1036,106,930,0
2024-01-22,P002,159,0,60,99,0
2024-01-22,P003,87,0,67,20,0
2024-01-22,P004,0,0,0,0,1
2024-01-22,P005,1944,1668,104,1840,0
2024-01-23,P001,930,0,64,866,0
2024-01-23,P002,99,0,48,51,0
2024-01-23,P003,20,0,20,0,1
2024-01-23,P004,0,0,0,0,1
2024-01-23,P005,1840,0,110,1730,0
2024-01-24,P001,866,0,102,764,0
2024-01-24,P002,51,0,51,0,1
2024-01-24,P003,596,596,68,528,0
2024-01-24,P004,0,0,0,0,1
2024-01-24,P005,1730,0,80,1650,0
2024-01-25,P001,764,0,87,677,0
2024-01-25,P002,0,0,0,0,1
2024-01-25,P003,528,0,57,471,0
2024-01-25,P004,198,198,13,185,0
2024-01-25,P005,1650,0,114,1536,0
2024-01-26,P001,677,0,80,597,0
2024-01-26,P002,0,0,0,0,1
2024-01-26,P003,471,0,89,382,0
2024-01-26,P004,185,0,12,173,0
2024-01-26,P005,1536,0,113,1423,0
2024-01-27,P001,597,0,80,517,0
2024-01-27,P002,0,0,0,0,1
2024-01-27,P003,382,0,76,306,0
2024-01-27,P004,173,0,10,163,0
2024-01-27,P005,1423,0,110,1313,0
2024-01-28,P001,517,0,80,437,0
2024-01-28,P002,0,0,0,0,1
2024-01-28,P003,306,0,72,234,0
2024-01-28,P004,163,0,13,150,0
2024-01-28,P005,1313,0,103,1210,0
2024-01-29,P001,437,0,115,322,0
2024-01-29,P002,0,0,0,0,1
2024-01-29,P003,234,0,66,168,0
2024-01-29,P004,150,0,12,138,0
2024-01-29,P005,1210,0,179,1031,0
2024-01-30,P001,322,0,105,217,0
2024-01-30,P002,0,0,0,0,1
2024-01-30,P003,168,0,81,87,0
2024-01-30,P004,138,0,12,126,0
2024-01-30,P005,1031,0,202,829,0
2024-01-31,P001,217,0,107,110,0
2024-01-31,P002,0,0,0,0,1
2024-01-31,P003,87,0,55,32,0
2024-01-31,P004,126,0,14,112,0
2024-01-31,P005,829,0,177,652,0
2024-02-01,P001,110,0,110,0,1
2024-02-01,P002,0,0,0,0,1
2024-02-01,P003,633,601,60,573,0
2024-02-01,P004,112,0,15,97,0
2024-02-01,P005,652,0,167,485,0
2024-02-02,P001,0,0,0,0,1
2024-02-02,P002,0,0,0,0,1
2024-02-02,P003,573,0,74,499,0
2024-02-02,P004,97,0,12,85,0
2024-02-02,P005,2086,1601,149,1937,0
2024-02-03,P001,0,0,0,0,1
2024-02-03,P002,0,0,0,0,1
2024-02-03,P003,499,0,81,418,0
2024-02-03,P004,85,0,14,71,0
2024-02-03,P005,1937,0,154,1783,0
2024-02-04,P001,0,0,0,0,1
2024-02-04,P002,0,0,0,0,1
2024-02-04,P003,418,0,70,348,0
2024-02-04,P004,71,0,13,58,0
2024-02-04,P005,1783,0,131,1652,0
2024-02-05,P001,959,959,140,819,0
2024-02-05,P002,0,0,0,0,1
2024-02-05,P003,348,0,66,282,0
2024-02-05,P004,58,0,12,46,0
2024-02-05,P005,1652,0,132,1520,0
2024-02-06,P001,819,0,130,689,0
2024-02-06,P002,366,366,88,278,0
2024-02-06,P003,282,0,59,223,0
2024-02-06,P004,46,0,12,34,0
2024-02-06,P005,1520,0,158,1362,0
2024-02-07,P001,689,0,142,547,0
2024-02-07,P002,278,0,85,193,0
2024-02-07,P003,223,0,57,166,0
2024-02-07,P004,34,0,13,21,0
2024-02-07,P005,1362,0,159,1203,0
2024-02-08,P001,547,0,80,467,0
2024-02-08,P002,193,0,87,106,0
2024-02-08,P003,166,0,68,98,0
2024-02-08,P004,21,0,15,6,0
2024-02-08,P005,1203,0,201,1002,0
2024-02-09,P001,467,0,135,332,0
2024-02-09,P002,106,0,85,21,0
2024-02-09,P003,98,0,60,38,0
2024-02-09,P004,6,0,6,0,1
2024-02-09,P005,1002,0,166,836,0
2024-02-10,P001,332,0,119,213,0
2024-02-10,P002,21,0,21,0,1
2024-02-10,P003,38,0,38,0,1
2024-02-10,P004,0,0,0,0,1
2024-02-10,P005,836,0,153,683,0
2024-02-11,P001,213,0,111,102,0
2024-02-11,P002,0,0,0,0,1
2024-02-11,P003,630,630,65,565,0
2024-02-11,P004,0,0,0,0,1
2024-02-11,P005,683,0,167,516,0
2024-02-12,P001,102,0,82,20,0
2024-02-12,P002,0,0,0,0,1
2024-02-12,P003,565,0,47,518,0
2024-02-12,P004,0,0,0,0,1
2024-02-12,P005,516,0,126,390,0
2024-02-13,P001,20,0,20,0,1
2024-02-13,P002,0,0,0,0,1
2024-02-13,P003,518,0,66,452,0
2024-02-13,P004,0,0,0,0,1
2024-02-13,P005,390,0,99,291,0
2024-02-14,P001,1014,1014,73,941,0
2024-02-14,P002,0,0,0,0,1
2024-02-14,P003,452,0,77,375,0
2024-02-14,P004,0,0,0,0,1
2024-02-14,P005,1889,1598,119,1770,0
2024-02-15,P001,941,0,73,868,0
2024-02-15,P002,0,0,0,0,1
2024-02-15,P003,375,0,74,301,0
2024-02-15,P004,0,0,0,0,1
2024-02-15,P005,1770,0,119,1651,0
2024-02-16,P001,868,0,82,786,0
2024-02-16,P002,0,0,0,0,1
