date,opening_balance,revenue_received,supplier_payments,operating_expenses,closing_balance,notes
2024-01-01,150000.0,65653.0,0.0,8000.0,207653.0,
2024-01-08,207653.0,27699.59,0.0,8000.0,227352.59,
2024-01-15,227352.59,30263.62,0.0,8000.0,249616.21,
2024-01-22,249616.21,65466.51,0.0,8000.0,307082.72,
2024-01-29,307082.72,37375.24,0.0,8000.0,336457.96,
2024-02-05,336457.96,48868.48,47410.04,8000.0,329916.4,⚠️ CASH CRUNCH: Multiple overdue payments due simultaneously
2024-02-12,329916.4,53006.26,11635.37,8000.0,363287.29,⚠️ Overdue invoice cluster — cash pressure
2024-02-19,363287.29,46275.13,13332.26,8000.0,388230.16,⚠️ Overdue invoice cluster — cash pressure
2024-02-26,388230.16,49552.27,56718.0,8000.0,373064.43,
2024-03-04,373064.43,32603.47,0.0,8000.0,397667.9,✅ Cash position recovered — collections normalised
2024-03-11,397667.9,32338.12,22287.5,8000.0,399718.52,
2024-03-18,399718.52,68934.77,12904.0,8000.0,447749.29,
2024-03-25,447749.29,38457.52,46064.0,8000.0,432142.81,
