invoice_id,supplier_id,invoice_date,due_date,amount,status,product_id,qty
INV001,S001,2024-01-12,2024-02-11,12387.5,PAID,P001,991
INV002,S001,2024-01-31,2024-03-01,12100.0,PAID,P001,968
INV003,S001,2024-02-15,2024-03-16,12387.5,PAID,P001,991
INV004,S001,2024-03-09,2024-04-08,13650.0,PENDING,P001,1092
INV005,S001,2024-03-26,2024-04-25,12050.0,PENDING,P001,964
INV006,S001,2024-01-06,2024-02-05,12832.0,PAID,P005,1604
INV007,S001,2024-01-27,2024-02-26,13208.0,PAID,P005,1651
INV008,S001,2024-02-17,2024-03-18,12904.0,PAID,P005,1613
INV009,S001,2024-03-13,2024-04-12,13272.0,PENDING,P005,1659
INV010,S001,2024-04-01,2024-05-01,13440.0,PENDING,P005,1680
INV011,S002,2024-01-15,2024-02-29,20610.0,PAID,P002,458
INV012,S002,2024-02-19,2024-04-04,21105.0,PENDING,P002,469
INV013,S002,2024-03-05,2024-04-19,15840.0,PENDING,P002,352
INV014,S002,2024-03-24,2024-05-08,21915.0,PENDING,P002,487
INV015,S002,2024-04-13,2024-05-28,17550.0,PENDING,P002,390
INV016,S003,2024-01-12,2024-02-11,10386.0,PAID,P003,577
INV017,S003,2024-01-28,2024-02-27,10800.0,PAID,P003,600
INV018,S003,2024-02-11,2024-03-12,9900.0,PAID,P003,550
INV019,S003,2024-02-29,2024-03-30,11304.0,PAID,P003,628
INV020,S003,2024-03-15,2024-04-14,10260.0,PENDING,P003,570
INV021,S003,2024-04-04,2024-05-04,10476.0,PENDING,P003,582
INV022,S004,2024-01-28,2024-03-28,34760.0,PAID,P004,158
INV023,S004,2024-02-26,2024-04-26,22220.0,PENDING,P004,101
INV024,S004,2024-03-26,2024-05-25,31900.0,PENDING,P004,145
INV_OD1,S002,2024-02-10,2024-03-26,8550.0,OVERDUE,P002,190
INV_OD2,S002,2024-02-18,2024-04-03,9000.0,OVERDUE,P002,200
INV_OD3,S004,2024-02-05,2024-04-05,11000.0,OVERDUE,P004,50
INV_OD4,S001,2024-01-28,2024-02-27,6250.0,OVERDUE,P001,500
