delivery_id,supplier_id,product_id,order_date,promised_date,actual_date,qty_ordered,qty_received,delay_days
D001,S001,P001,2024-01-04,2024-01-11,2024-01-12,991,991,1
D002,S001,P001,2024-01-22,2024-01-29,2024-01-31,968,968,2
D003,S001,P001,2024-02-08,2024-02-15,2024-02-15,991,991,0
D004,S001,P001,2024-02-27,2024-03-05,2024-03-09,1092,1092,4
D005,S001,P001,2024-03-18,2024-03-25,2024-03-26,964,964,1
D006,S001,P005,2024-01-03,2024-01-06,2024-01-06,1604,1604,0
D007,S001,P005,2024-01-23,2024-01-26,2024-01-27,1651,1651,1
D008,S001,P005,2024-02-14,2024-02-17,2024-02-17,1613,1613,0
D009,S001,P005,2024-03-08,2024-03-11,2024-03-13,1659,1659,2
D010,S001,P005,2024-03-29,2024-04-01,2024-04-01,1680,1680,0
D011,S002,P002,2024-01-01,2024-01-15,2024-01-15,458,458,0
D012,S002,P002,2024-01-24,2024-02-07,2024-02-19,469,469,12
D013,S002,P002,2024-02-18,2024-03-03,2024-03-05,352,352,2
D014,S002,P002,2024-03-07,2024-03-21,2024-03-24,487,487,3
D015,S002,P002,2024-03-29,2024-04-12,2024-04-13,390,390,1
D016,S003,P003,2024-01-05,2024-01-10,2024-01-12,577,577,2
D017,S003,P003,2024-01-21,2024-01-26,2024-01-28,600,600,2
D018,S003,P003,2024-02-04,2024-02-09,2024-02-11,550,550,2
D019,S003,P003,2024-02-23,2024-02-28,2024-02-29,628,628,1
D020,S003,P003,2024-03-09,2024-03-14,2024-03-15,570,570,1
D021,S003,P003,2024-03-28,2024-04-02,2024-04-04,582,582,2
D022,S004,P004,2024-01-05,2024-01-26,2024-01-28,158,158,2
D023,S004,P004,2024-02-04,2024-02-25,2024-02-26,101,101,1
D024,S004,P004,2024-03-03,2024-03-24,2024-03-26,145,145,2
